ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
52,New York,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,5,Darcis S.,Thompson J.,106,91,562,633,5,7,3,6,7,6,6,4,7,5,3,2,Completed,1.5,2.5,1.45,2.35,1.5,2.6,1.59,2.52,1.59,2.6,1.53,2.47
52,New York,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,5,Kuznetsov An.,Bellucci T.,47,65,988,760,6,4,3,6,6,2,7,6,,,3,1,Completed,1.57,2.25,1.55,2.1,1.67,2.2,1.61,2.47,1.67,2.47,1.6,2.31
52,New York,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Dutra Silva R.,9,427,3515,98,6,4,7,5,6,1,,,,,3,0,Completed,1.01,21,1,10,1.02,17,1.02,24.52,1.03,31,1.01,18.13
52,New York,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,5,Edmund K.,Gasquet R.,84,15,679,2230,6,2,6,2,6,3,,,,,3,0,Completed,4.33,1.2,3.9,1.18,4.33,1.22,4.85,1.22,4.85,1.23,4.34,1.21
52,New York,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,5,Pella G.,Fratangelo B.,51,115,898,540,6,3,6,4,6,4,,,,,3,0,Completed,2.25,1.57,2.2,1.52,2.2,1.67,2.41,1.64,2.45,1.67,2.32,1.6
52,New York,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,5,Escobedo E.,Lacko L.,201,99,277,606,6,4,4,6,4,6,6,3,,,2,2,Retired,1.66,2.1,1.72,1.88,1.8,2,1.78,2.16,1.85,2.3,1.72,2.1
52,New York,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,5,Stakhovsky S.,Elias G.,92,60,631,806,6,1,3,6,2,6,6,3,7,6,3,2,Completed,1.61,2.2,1.55,2.2,1.67,2.2,1.69,2.3,1.69,2.38,1.63,2.26
52,New York,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Klizan M.,61,29,801,1405,6,2,6,1,6,1,,,,,3,0,Completed,2,1.72,1.95,1.68,2,1.8,1.99,1.92,2.05,1.92,1.97,1.83
52,New York,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,5,Ramos-Vinolas A.,Benneteau J.,33,248,1330,214,3,6,6,3,6,3,2,6,6,1,3,2,Completed,1.57,2.25,1.55,2.1,1.62,2.25,1.68,2.34,1.68,2.38,1.61,2.29
52,New York,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Fucsovics M.,48,155,987,366,6,1,6,4,7,6,,,,,3,0,Completed,1.44,2.62,1.45,2.4,1.5,2.62,1.56,2.59,1.73,2.65,1.52,2.52
