ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
51,New York,US Open,31/08/14,Grand Slam,Outdoor,Hard,3rd Round,5,Wawrinka S.,Kavcic B.,4,92,5985,618,,,,,,,,,,,,,Walkover,1.11,6.5,1.13,5.5,1.12,6,1.13,8.01,1.13,6.25,1.14,8.01,1.11,6.41
51,New York,US Open,31/08/14,Grand Slam,Outdoor,Hard,3rd Round,5,Robredo T.,Kyrgios N.,18,60,1825,805,3,6,6,3,7,6,6,3,,,3,1,Completed,1.66,2.1,1.7,2.1,1.67,2.2,1.65,2.41,1.8,2.05,1.8,2.5,1.64,2.24
51,New York,US Open,31/08/14,Grand Slam,Outdoor,Hard,3rd Round,5,Simon G.,Ferrer D.,31,5,1180,4765,6,3,3,6,6,1,6,3,,,3,1,Completed,4.5,1.18,4,1.22,4,1.25,4.55,1.25,4.33,1.2,4.6,1.27,4.24,1.22
51,New York,US Open,31/08/14,Grand Slam,Outdoor,Hard,3rd Round,5,Cilic M.,Anderson K.,16,20,1845,1795,6,3,3,6,6,3,6,4,,,3,1,Completed,1.4,3,1.45,2.7,1.44,2.75,1.43,3.14,1.5,2.63,1.5,3.14,1.42,2.86
51,New York,US Open,31/08/14,Grand Slam,Outdoor,Hard,3rd Round,5,Berdych T.,Gabashvili T.,7,62,4060,795,6,3,6,2,6,4,,,,,3,0,Completed,1.08,8,1.07,8,1.07,8.5,1.12,7.83,1.07,8,1.14,9.55,1.08,7.75
51,New York,US Open,31/08/14,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Granollers M.,3,42,7490,1010,4,6,6,1,6,1,6,1,,,3,1,Completed,1.01,21,1.01,13,1.02,17,1.02,25.5,1.02,13,1.03,32,1.02,17.33
51,New York,US Open,31/08/14,Grand Slam,Outdoor,Hard,3rd Round,5,Thiem D.,Lopez F.,45,21,985,1770,6,4,6,2,6,3,,,,,3,0,Completed,2.2,1.61,2.15,1.68,2.25,1.62,2.29,1.71,2.3,1.57,2.3,1.77,2.18,1.67
51,New York,US Open,31/08/14,Grand Slam,Outdoor,Hard,3rd Round,5,Bautista R.,Mannarino A.,19,89,1800,622,7,5,6,2,6,3,,,,,3,0,Completed,1.36,3,1.38,3,1.33,3.4,1.41,3.21,,,1.44,3.4,1.37,3.08
51,New York,US Open,01/09/14,Grand Slam,Outdoor,Hard,3rd Round,5,Monfils G.,Gasquet R.,24,14,1530,2360,6,4,6,2,6,2,,,,,3,0,Completed,1.61,2.2,1.68,2.15,1.62,2.25,1.7,2.32,1.57,2.3,1.75,2.35,1.65,2.22
51,New York,US Open,01/09/14,Grand Slam,Outdoor,Hard,3rd Round,5,Dimitrov G.,Goffin D.,8,56,3540,828,0,6,6,3,6,4,6,1,,,3,1,Completed,1.22,4,1.25,3.75,1.25,4,1.28,4.22,1.3,3.75,1.3,4.25,1.25,3.9
51,New York,US Open,01/09/14,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Kohlschreiber P.,1,25,12770,1505,6,1,7,5,6,4,,,,,3,0,Completed,1.04,13,1.05,9,1.05,10,1.06,13,1.04,11,1.07,14.62,1.05,10.98
51,New York,US Open,01/09/14,Grand Slam,Outdoor,Hard,4th Round,5,Murray A.,Tsonga J.W.,9,10,3150,2920,7,5,7,5,6,4,,,,,3,0,Completed,1.66,2.2,1.68,2.15,1.73,2.1,1.7,2.31,1.62,2.25,1.8,2.35,1.69,2.17
51,New York,US Open,01/09/14,Grand Slam,Outdoor,Hard,4th Round,5,Wawrinka S.,Robredo T.,4,18,5985,1825,7,5,4,6,7,6,6,2,,,3,1,Completed,1.44,2.75,1.45,2.7,1.44,2.75,1.46,2.98,1.44,2.63,1.49,3.2,1.45,2.76
51,New York,US Open,02/09/14,Grand Slam,Outdoor,Hard,4th Round,5,Nishikori K.,Raonic M.,11,6,2680,4225,4,6,7,6,6,7,7,5,6,4,3,2,Completed,2,1.8,2.05,1.75,2.1,1.73,2.06,1.87,2.1,1.67,2.15,1.89,2.02,1.78
51,New York,US Open,02/09/14,Grand Slam,Outdoor,Hard,4th Round,5,Monfils G.,Dimitrov G.,24,8,1530,3540,7,5,7,6,7,5,,,,,3,0,Completed,2.1,1.72,2.15,1.68,2.2,1.67,2.26,1.73,2.2,1.67,2.26,1.8,2.15,1.7
51,New York,US Open,02/09/14,Grand Slam,Outdoor,Hard,4th Round,5,Cilic M.,Simon G.,16,31,1845,1180,5,7,7,6,6,4,3,6,6,3,3,2,Completed,1.53,2.5,1.55,2.4,1.53,2.5,1.57,2.6,1.53,2.5,1.62,2.6,1.55,2.45
51,New York,US Open,03/09/14,Grand Slam,Outdoor,Hard,4th Round,5,Berdych T.,Thiem D.,7,45,4060,985,6,1,6,2,6,4,,,,,3,0,Completed,1.2,4.5,1.22,4,1.25,4,1.24,4.64,1.25,3.8,1.3,4.8,1.23,4.2
51,New York,US Open,03/09/14,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Bautista R.,3,19,7490,1800,6,4,6,3,6,2,,,,,3,0,Completed,1.05,11,1.05,9,1.06,9,1.07,11.5,1.06,8.5,1.08,11.54,1.06,9.15
51,New York,US Open,03/09/14,Grand Slam,Outdoor,Hard,Quarterfinals,5,Nishikori K.,Wawrinka S.,11,4,2680,5985,3,6,7,5,7,6,6,7,6,4,3,2,Completed,2.5,1.53,2.4,1.55,2.5,1.53,2.52,1.6,2.5,1.5,2.63,1.63,2.47,1.55
51,New York,US Open,04/09/14,Grand Slam,Outdoor,Hard,Quarterfinals,5,Djokovic N.,Murray A.,1,9,12770,3150,7,6,6,7,6,2,6,4,,,3,1,Completed,1.25,4,1.25,3.75,1.29,3.75,1.26,4.45,1.3,3.6,1.3,4.46,1.25,3.96
51,New York,US Open,04/09/14,Grand Slam,Outdoor,Hard,Quarterfinals,5,Cilic M.,Berdych T.,16,7,1845,4060,6,2,6,4,7,6,,,,,3,0,Completed,2.37,1.57,2.3,1.6,2.38,1.57,2.36,1.68,,,2.44,1.68,2.33,1.61
51,New York,US Open,05/09/14,Grand Slam,Outdoor,Hard,Quarterfinals,5,Federer R.,Monfils G.,3,24,7490,1530,4,6,3,6,6,4,7,5,6,2,3,2,Completed,1.25,4,1.25,3.75,1.25,4,1.28,4.23,1.22,4,1.3,4.33,1.25,3.93
51,New York,US Open,06/09/14,Grand Slam,Outdoor,Hard,Semifinals,5,Nishikori K.,Djokovic N.,11,1,2680,12770,6,4,1,6,7,6,6,3,,,3,1,Completed,7,1.1,6.5,1.1,7,1.1,7.39,1.14,6.5,1.11,7.54,1.14,6.63,1.11
51,New York,US Open,06/09/14,Grand Slam,Outdoor,Hard,Semifinals,5,Cilic M.,Federer R.,16,3,1845,7490,6,3,6,4,6,4,,,,,3,0,Completed,4,1.25,3.75,1.25,3.75,1.29,4.18,1.29,3.8,1.25,4.33,1.32,3.82,1.27
51,New York,US Open,08/09/14,Grand Slam,Outdoor,Hard,The Final,5,Cilic M.,Nishikori K.,16,11,1845,2680,6,3,6,3,6,3,,,,,3,0,Completed,2,1.8,2,1.8,2,1.8,2.01,1.94,2.05,1.8,2.05,1.94,1.96,1.85
